year,month,flow,Ri
1957,1,185.6666667,4.876646401
1957,2,163.3333333,4.290047999
1957,3,197.3333333,5.183078399
1957,4,284,7.4594304
1957,5,1007.666667,26.46696961
1957,6,928,24.3744768
1957,7,1860.333333,48.86277119
1957,8,422.3333333,11.0928384
1957,9,490,12.870144
1957,10,261.6666667,6.872832001
1957,11,211,5.5420416
1957,12,166.6666667,4.377600001
1958,1,140.3333333,3.685939199
1958,2,121.6666667,3.195648001
1958,3,125.3333333,3.291955199
1958,4,216,5.6733696
1958,5,447,11.7407232
1958,6,1090,28.629504
1958,7,1720.666667,45.19434241
1958,8,3602,94.6086912
1958,9,1170,30.730752
1958,10,1157.666667,30.40680961
1958,11,570,14.971392
1958,12,323.3333333,8.492543999
1959,1,216.6666667,5.690880001
1959,2,192.6666667,5.060505601
1959,3,326.6666667,8.580096001
1959,4,352.6666667,9.263001601
1959,5,568.3333333,14.927616
1959,6,429.3333333,11.2766976
1959,7,1446.333333,37.98881279
1959,8,1960,51.480576
1959,9,740.3333333,19.4452992
1959,10,378.6666667,9.945907201
1959,11,279.6666667,7.345612801
1959,12,188.3333333,4.946687999
1960,1,169.6666667,4.456396801
1960,2,153,4.0186368
1960,3,171.3333333,4.500172799
1960,4,227.3333333,5.971046399
1960,5,291.3333333,7.652044799
1960,6,297,7.8008832
1960,7,611.6666667,16.065792
1960,8,2029,53.2929024
1960,9,1168.333333,30.68697599
1960,10,1033.333333,27.14111999
1960,11,452,11.8720512
1960,12,243.3333333,6.391295999
1961,1,176.3333333,4.631500799
1961,2,159,4.1762304
1961,3,202.3333333,5.314406399
1961,4,560.6666667,14.7262464
1961,5,600.3333333,15.7681152
1961,6,2606.333333,68.45690879
1961,7,2923.666667,76.79185921
1961,8,1964.333333,51.59439359
1961,9,996.3333333,26.1692928
1961,10,1812,47.5932672
1961,11,960.3333333,25.2237312
1961,12,416.6666667,10.944
1962,1,258.3333333,6.785279999
1962,2,213.3333333,5.603327999
1962,3,187.3333333,4.920422399
1962,4,205,5.384448
1962,5,270.6666667,7.109222401
1962,6,430,11.294208
1962,7,2376.666667,62.42457601
1962,8,1872.666667,49.18671361
1962,9,1076,28.2617856
1962,10,1222.666667,32.11407361
1962,11,561.6666667,14.752512
1962,12,307,8.0635392
1963,1,204.3333333,5.366937599
1963,2,177,4.6490112
1963,3,183.3333333,4.815359999
1963,4,261,6.8553216
1963,5,1049,27.5526144
1963,6,557,14.6299392
1963,7,1290,33.882624
1963,8,815.3333333,21.4152192
1963,9,2336.333333,61.36519679
1963,10,818.3333333,21.494016
1963,11,579.6666667,15.2252928
1963,12,328.6666667,8.632627201
1964,1,228,5.9885568
1964,2,190.3333333,4.999219199
1964,3,311,8.1686016
1964,4,1207.666667,31.72008961
1964,5,850,22.32576
1964,6,589,15.4704384
1964,7,2267,59.5441152
1964,8,988,25.9504128
1964,9,2906,76.3278336
1964,10,1770.666667,46.50762241
1964,11,711.3333333,18.6835968
1964,12,360,9.455616
1965,1,254,6.6714624
1965,2,218,5.7259008
1965,3,208.3333333,5.471999999
1965,4,625,16.416
1965,5,492,12.9226752
1965,6,377.6666667,9.919641601
1965,7,800.3333333,21.0212352
1965,8,396,10.4011776
1965,9,367.6666667,9.656985601
1965,10,612.3333333,16.0833024
1965,11,284,7.4594304
1965,12,183,4.8066048
1966,1,151.6666667,3.983616001
1966,2,137.3333333,3.607142399
1966,3,151.6666667,3.983616001
1966,4,216.6666667,5.690880001
1966,5,280.6666667,7.371878401
1966,6,250.3333333,6.575155199
1966,7,1984,52.1109504
1966,8,1790.666667,47.03293441
1966,9,2363,62.0656128
1966,10,836,21.9580416
1966,11,442.3333333,11.6181504
1966,12,272.6666667,7.161753601
1967,1,201.6666667,5.296896001
1967,2,179.6666667,4.719052801
1967,3,243.3333333,6.391295999
1967,4,408.6666667,10.7338752
1967,5,2005.333333,52.67128319
1967,6,759.3333333,19.9443456
1967,7,1298.333333,34.10150399
1967,8,1384.666667,36.36910081
1967,9,2678.333333,70.34803199
1967,10,1140,29.942784
1967,11,619,16.2584064
1967,12,346.6666667,9.105408001
1968,1,214.3333333,5.629593599
1968,2,173,4.5439488
1968,3,401.6666667,10.550016
1968,4,941,24.7159296
1968,5,716.3333333,18.8149248
1968,6,517,13.5793152
1968,7,849.6666667,22.3170048
1968,8,1675,43.99488
1968,9,2628.666667,69.04350721
1968,10,1073.666667,28.20049921
1968,11,586.6666667,15.409152
1968,12,327,8.5888512
1969,1,233.6666667,6.137395201
1969,2,200.6666667,5.270630401
1969,3,195.6666667,5.139302401
1969,4,373.6666667,9.814579201
1969,5,418.6666667,10.9965312
1969,6,296,7.7746176
1969,7,734,19.2789504
1969,8,484.3333333,12.7213056
1969,9,483.6666667,12.7037952
1969,10,625,16.416
1969,11,270.6666667,7.109222401
1969,12,172.3333333,4.526438399
1970,1,140.6666667,3.694694401
1970,2,132,3.4670592
1970,3,146,3.8347776
1970,4,399.3333333,10.4887296
1970,5,759.6666667,19.9531008
1970,6,515.3333333,13.5355392
1970,7,896.6666667,23.551488
1970,8,1559.333333,40.95682559
1970,9,1123.333333,29.50502399
1970,10,568,14.9188608
1970,11,284,7.4594304
1970,12,190.6666667,5.007974401
1971,1,154.6666667,4.062412801
1971,2,144.3333333,3.791001599
1971,3,153,4.0186368
1971,4,210,5.515776
1971,5,338.3333333,8.886527999
1971,6,352,9.2454912
1971,7,1143.666667,30.03909121
1971,8,680.3333333,17.8693632
1971,9,439.6666667,11.5481088
1971,10,599.6666667,15.7506048
1971,11,338.6666667,8.895283201
1971,12,188,4.9379328
1972,1,149.6666667,3.931084801
1972,2,133,3.4933248
1972,3,148,3.8873088
1972,4,310,8.142336
1972,5,523.3333333,13.745664
1972,6,519.3333333,13.6406016
1972,7,1853.333333,48.67891199
1972,8,420.3333333,11.0403072
1972,9,521,13.6843776
1972,10,266,6.9866496
1972,11,206.6666667,5.428224001
1972,12,149.6666667,3.931084801
1973,1,122.6666667,3.221913601
1973,2,116,3.0468096
1973,3,121.3333333,3.186892799
1973,4,272,7.1442432
1973,5,609.3333333,16.0045056
1973,6,676.3333333,17.7643008
1973,7,1064,27.9465984
1973,8,567,14.8925952
1973,9,1929.666667,50.68385281
1973,10,1234,32.4117504
1973,11,356.6666667,9.368064001
1973,12,219.3333333,5.760921599
1974,1,166.3333333,4.368844799
1974,2,144.3333333,3.791001599
1974,3,141,3.7034496
1974,4,240.6666667,6.321254401
1974,5,363,9.5344128
1974,6,286.6666667,7.529472001
1974,7,404,10.6113024
1974,8,717,18.8324352
1974,9,1516.333333,39.82740479
1974,10,812,21.3276672
1974,11,421.6666667,11.075328
1974,12,242.3333333,6.365030399
1975,1,165.6666667,4.351334401
1975,2,140.6666667,3.694694401
1975,3,184.6666667,4.850380801
1975,4,212.6666667,5.585817601
1975,5,709.6666667,18.6398208
1975,6,578.3333333,15.190272
1975,7,1084.666667,28.48942081
1975,8,689,18.0969984
1975,9,2458.333333,64.56959999
1975,10,1745.333333,45.84222719
1975,11,790,20.749824
1975,12,325,8.53632
1976,1,212,5.5683072
1976,2,177,4.6490112
1976,3,192,5.0429952
1976,4,403.3333333,10.593792
1976,5,474.6666667,12.4674048
1976,6,782.6666667,20.5572096
1976,7,773.6666667,20.3208192
1976,8,2457.666667,64.55208961
1976,9,1157.333333,30.39805439
1976,10,595.6666667,15.6455424
1976,11,362,9.5081472
1976,12,254.6666667,6.688972801
1977,1,201.3333333,5.288140799
1977,2,180.3333333,4.736563199
1977,3,202,5.3056512
1977,4,382.3333333,10.0422144
1977,5,654.6666667,17.1952128
1977,6,532,13.9732992
1977,7,2086,54.7900416
1977,8,539.3333333,14.1659136
1977,9,625.3333333,16.4247552
1977,10,272.6666667,7.161753601
1977,11,332.6666667,8.737689601
1977,12,197,5.1743232
1978,1,152.3333333,4.001126399
1978,2,159,4.1762304
1978,3,186,4.8854016
1978,4,229.6666667,6.032332801
1978,5,400.6666667,10.5237504
1978,6,520,13.658112
1978,7,1189,31.2297984
1978,8,697.6666667,18.3246336
1978,9,2048,53.7919488
1978,10,539.3333333,14.1659136
1978,11,383.6666667,10.0772352
1978,12,234.3333333,6.154905599
1979,1,191.3333333,5.025484799
1979,2,178.3333333,4.684031999
1979,3,182,4.7803392
1979,4,228.3333333,5.997311999
1979,5,304,7.9847424
1979,6,263.3333333,6.916607999
1979,7,1305.333333,34.28536319
1979,8,897.6666667,23.5777536
1979,9,681,17.8868736
1979,10,521,13.6843776
1979,11,281,7.3806336
1979,12,206,5.4107136
1980,1,150.3333333,3.948595199
1980,2,134.3333333,3.528345599
1980,3,210.6666667,5.533286401
1980,4,281,7.3806336
1980,5,662.6666667,17.4053376
1980,6,1574,41.3420544
1980,7,1757.333333,46.15741439
1980,8,940.3333333,24.6984192
1980,9,974.3333333,25.5914496
1980,10,488.3333333,12.826368
1980,11,336.6666667,8.842752001
1980,12,230.6666667,6.058598401
1981,1,163,4.2812928
1981,2,152,3.9923712
1981,3,178.3333333,4.684031999
1981,4,234.3333333,6.154905599
1981,5,224.3333333,5.892249599
1981,6,467.6666667,12.2835456
1981,7,2752.666667,72.30044161
1981,8,3745.666667,98.38218241
1981,9,2764.333333,72.60687359
1981,10,774.3333333,20.3383296
1981,11,416.6666667,10.944
1981,12,273.6666667,7.188019201
1982,1,196,5.1480576
1982,2,191,5.0167296
1982,3,249.6666667,6.557644801
1982,4,428,11.2416768
1982,5,543.3333333,14.270976
1982,6,422.6666667,11.1015936
1982,7,522.3333333,13.7193984
1982,8,563,14.7875328
1982,9,1705.333333,44.79160319
1982,10,620.3333333,16.2934272
1982,11,404,10.6113024
1982,12,246.6666667,6.478848001
1983,1,178.3333333,4.684031999
1983,2,149,3.9135744
1983,3,161.6666667,4.246272001
1983,4,438,11.5043328
1983,5,1101,28.9184256
1983,6,800.6666667,21.0299904
1983,7,1099,28.8658944
1983,8,1403.333333,36.85939199
1983,9,1774.333333,46.60392959
1983,10,1430.666667,37.57731841
1983,11,552,14.4986112
1983,12,306.3333333,8.046028799
1984,1,233.6666667,6.137395201
1984,2,199.6666667,5.244364801
1984,3,222.3333333,5.839718399
1984,4,301.6666667,7.923456001
1984,5,486.3333333,12.7738368
1984,6,1315.666667,34.55677441
1984,7,2698.666667,70.88209921
1984,8,2085.666667,54.78128641
1984,9,1452.666667,38.15516161
1984,10,785.6666667,20.6360064
1984,11,435.3333333,11.4342912
1984,12,293,7.6958208
1985,1,207.3333333,5.445734399
1985,2,205.3333333,5.393203199
1985,3,244.3333333,6.417561599
1985,4,305.3333333,8.019763199
1985,5,693.3333333,18.210816
1985,6,741.3333333,19.4715648
1985,7,1023.666667,26.88721921
1985,8,927,24.3482112
1985,9,1845.333333,48.46878719
1985,10,606,15.9169536
1985,11,368.6666667,9.683251201
1985,12,228,5.9885568
1986,1,201,5.2793856
1986,2,173.3333333,4.552703999
1986,3,205.3333333,5.393203199
1986,4,240.3333333,6.312499199
1986,5,466,12.2397696
1986,6,757,19.8830592
1986,7,917,24.0855552
1986,8,435,11.425536
1986,9,535,14.052096
1986,10,254.6666667,6.688972801
1986,11,231.6666667,6.084864001
1986,12,189,4.9641984
1987,1,152.6666667,4.009881601
1987,2,146.6666667,3.852288001
1987,3,131.6666667,3.458304001
1987,4,158.6666667,4.167475201
1987,5,302.6666667,7.949721601
1987,6,974.6666667,25.6002048
1987,7,1296.666667,34.05772801
1987,8,518.3333333,13.614336
1987,9,497.3333333,13.0627584
1987,10,310.6666667,8.159846401
1987,11,224.3333333,5.892249599
1987,12,144,3.7822464
1988,1,127,3.3357312
1988,2,105,2.757888
1988,3,154.6666667,4.062412801
1988,4,295.3333333,7.757107199
1988,5,465,12.213504
1988,6,505.3333333,13.2728832
1988,7,1863.333333,48.94156799
1988,8,1741,45.7284096
1988,9,928.6666667,24.3919872
1988,10,946.6666667,24.864768
1988,11,423,11.1103488
1988,12,245.3333333,6.443827199
1989,1,194,5.0955264
1989,2,175.3333333,4.605235199
1989,3,245.6666667,6.452582401
1989,4,570.6666667,14.9889024
1989,5,748.6666667,19.6641792
1989,6,1295,34.013952
1989,7,1347.333333,35.38851839
1989,8,1362.333333,35.78250239
1989,9,1762.666667,46.29749761
1989,10,522,13.7106432
1989,11,390.6666667,10.2610944
1989,12,246.6666667,6.478848001
1990,1,211,5.5420416
1990,2,193.3333333,5.078015999
1990,3,265.3333333,6.969139199
1990,4,384,10.0859904
1990,5,649.3333333,17.0551296
1990,6,683.6666667,17.9569152
1990,7,2385.666667,62.66096641
1990,8,1217.666667,31.98274561
1990,9,1834.666667,48.18862081
1990,10,895,23.507712
1990,11,453.6666667,11.9158272
1990,12,272,7.1442432
1991,1,224,5.8834944
1991,2,183,4.8066048
1991,3,204,5.3581824
1991,4,301,7.9059456
1991,5,714,18.7536384
1991,6,754.6666667,19.8217728
1991,7,484.6666667,12.7300608
1991,8,353.6666667,9.289267201
1991,9,365.3333333,9.595699199
1991,10,414.6666667,10.8914688
1991,11,254.6666667,6.688972801
1991,12,162.3333333,4.263782399
1992,1,143.3333333,3.764735999
1992,2,117.6666667,3.090585601
1992,3,144.6666667,3.799756801
1992,4,289.3333333,7.599513599
1992,5,519.6666667,13.6493568
1992,6,892,23.4289152
1992,7,1779,46.7265024
1992,8,1638,43.0230528
1992,9,967.6666667,25.4163456
1992,10,857.3333333,22.5183744
1992,11,409.6666667,10.7601408
1992,12,246.6666667,6.478848001
1993,1,183.3333333,4.815359999
1993,2,207,5.4369792
1993,3,203.6666667,5.349427201
1993,4,343.6666667,9.026611201
1993,5,514.6666667,13.5180288
1993,6,748.6666667,19.6641792
1993,7,1657.333333,43.53085439
1993,8,1184.666667,31.11598081
1993,9,599.6666667,15.7506048
1993,10,594.6666667,15.6192768
1993,11,366.3333333,9.621964799
1993,12,227,5.9622912
1994,1,203.3333333,5.340671999
1994,2,151.6666667,3.983616001
1994,3,213,5.5945728
1994,4,365.6666667,9.604454401
1994,5,385,10.112256
1994,6,677.3333333,17.7905664
1994,7,808.3333333,21.23136
1994,8,339.3333333,8.912793599
1994,9,646.6666667,16.985088
1994,10,617.6666667,16.2233856
1994,11,327.6666667,8.606361601
1994,12,246.3333333,6.470092799
1995,1,177.3333333,4.657766399
1995,2,139.3333333,3.659673599
1995,3,134.6666667,3.537100801
1995,4,282.3333333,7.415654399
1995,5,322,8.4575232
1995,6,366,9.6132096
1995,7,779.6666667,20.4784128
1995,8,977.6666667,25.6790016
1995,9,1106.333333,29.05850879
1995,10,509.6666667,13.3867008
1995,11,261.3333333,6.864076799
1995,12,185.6666667,4.876646401
1996,1,154,4.0449024
1996,2,149.6666667,3.931084801
1996,3,124,3.2569344
1996,4,183,4.8066048
1996,5,385.6666667,10.1297664
1996,6,471.6666667,12.388608
1996,7,513.3333333,13.483008
1996,8,604.3333333,15.8731776
1996,9,672,17.6504832
1996,10,300,7.87968
1996,11,232.6666667,6.111129601
1996,12,122,3.2044032
1997,1,142.6666667,3.747225601
1997,2,100,2.62656
1997,3,188,4.9379328
1997,4,380.3333333,9.989683199
1997,5,563.3333333,14.796288
1997,6,298.3333333,7.835903999
1997,7,530,13.920768
1997,8,488,12.8176128
1997,9,176.3333333,4.631500799
1997,10,150.3333333,3.948595199
1997,11,132.3333333,3.475814399
1997,12,180.3333333,4.736563199
1998,1,143.3333333,3.764735999
1998,2,112,2.9417472
1998,3,140,3.677184
1998,4,182.3333333,4.789094399
1998,5,475.3333333,12.4849152
1998,6,442,11.6093952
1998,7,1388,36.4566528
1998,8,1709,44.8879104
1998,9,1073.333333,28.19174399
1998,10,304.3333333,7.993497599
1998,11,245,6.435072
1998,12,208.3333333,5.471999999
1999,1,254.3333333,6.680217599
1999,2,238.6666667,6.268723201
1999,3,246.6666667,6.478848001
1999,4,169.3333333,4.447641599
1999,5,343,9.0091008
1999,6,691,18.1495296
1999,7,1405,36.903168
1999,8,698.3333333,18.342144
1999,9,493.6666667,12.9664512
1999,10,881.3333333,23.1487488
1999,11,379,9.9546624
1999,12,265,6.960384
2000,1,245.6666667,6.452582401
2000,2,240.6666667,6.321254401
2000,3,342.3333333,8.991590399
2000,4,361.3333333,9.490636799
2000,5,306.6666667,8.054784001
2000,6,339,8.9040384
2000,7,401.6666667,10.550016
2000,8,554,14.5511424
2000,9,548.6666667,14.4110592
2000,10,959.6666667,25.2062208
2000,11,334,8.7727104
2000,12,249.6666667,6.557644801
2001,1,241,6.3300096
2001,2,184.3333333,4.841625599
2001,3,256.3333333,6.732748799
2001,4,336,8.8252416
2001,5,366,9.6132096
2001,6,280,7.354368
2001,7,349,9.1666944
2001,8,445.6666667,11.7057024
2001,9,2143.666667,56.30469121
2001,10,819.6666667,21.5290368
2001,11,369.3333333,9.700761599
2001,12,287,7.5382272
2002,1,298,7.8271488
2002,2,161,4.2287616
2002,3,209.3333333,5.498265599
2002,4,444,11.6619264
2002,5,439.3333333,11.5393536
2002,6,696.3333333,18.2896128
2002,7,304.3333333,7.993497599
2002,8,332.6666667,8.737689601
2002,9,263.3333333,6.916607999
2002,10,164,4.3075584
2002,11,69,1.8123264
2002,12,126,3.3094656
2003,1,120.3333333,3.160627199
2003,2,67.66666667,1.7773056
2003,3,107.3333333,2.819174399
2003,4,146.6666667,3.852288001
2003,5,463,12.1609728
2003,6,241.3333333,6.338764799
2003,7,533,13.9995648
2003,8,1070.333333,28.11294719
2003,9,1059,27.8152704
2003,10,898,23.5865088
2003,11,401,10.5325056
2003,12,235,6.172416
2004,1,280.6666667,7.371878401
2004,2,327,8.5888512
2004,3,274,7.1967744
2004,4,293.6666667,7.713331201
2004,5,320.6666667,8.422502401
2004,6,248.6666667,6.531379201
2004,7,299,7.8534144
2004,8,395.3333333,10.3836672
2004,9,431.6666667,11.337984
2004,10,449.3333333,11.8020096
2004,11,285,7.485696
2004,12,216.3333333,5.682124799
2005,1,275.6666667,7.240550401
2005,2,295.3333333,7.757107199
2005,3,324.3333333,8.518809599
2005,4,299,7.8534144
2005,5,304.6666667,8.002252801
2005,6,401.6666667,10.550016
2005,7,1360,35.721216
2005,8,1354.333333,35.57237759
2005,9,617.3333333,16.2146304
2005,10,1074.666667,28.22676481
2005,11,381,10.0071936
2005,12,251,6.5926656
2006,1,319,8.3787264
2006,2,251.3333333,6.601420799
2006,3,377.3333333,9.910886399
2006,4,282.3333333,7.415654399
2006,5,356,9.3505536
2006,6,277.3333333,7.284326399
2006,7,580.3333333,15.2428032
2006,8,439,11.5305984
2006,9,751.3333333,19.7342208
2006,10,488.6666667,12.8351232
2006,11,267.6666667,7.030425601
2006,12,229.6666667,6.032332801
2007,1,138.3333333,3.633407999
2007,2,126.3333333,3.318220799
2007,3,154.6666667,4.062412801
2007,4,171.6666667,4.508928001
2007,5,246.6666667,6.478848001
2007,6,404,10.6113024
2007,7,801.3333333,21.0475008
2007,8,915,24.033024
2007,9,1252.666667,32.90204161
2007,10,1640.666667,43.09309441
2007,11,329,8.6413824
2007,12,215,5.647104
2008,1,160.6666667,4.220006401
2008,2,155.6666667,4.088678401
2008,3,196.3333333,5.156812799
2008,4,277.6666667,7.293081601
2008,5,298.6666667,7.844659201
2008,6,422.3333333,11.0928384
2008,7,716.6666667,18.82368
2008,8,476.6666667,12.519936
2008,9,1419.666667,37.28839681
2008,10,667,17.5191552
2008,11,365,9.586944
2008,12,207.3333333,5.445734399
2009,1,167.3333333,4.395110399
2009,2,152.6666667,4.009881601
2009,3,158.6666667,4.167475201
2009,4,320.3333333,8.413747199
2009,5,551.6666667,14.489856
2009,6,386.3333333,10.1472768
2009,7,1564.666667,41.09690881
2009,8,1150.333333,30.21419519
2009,9,1778.666667,46.71774721
2009,10,741,19.4628096
2009,11,376.3333333,9.884620799
2009,12,257.6666667,6.767769601
2010,1,171.3333333,4.500172799
2010,2,162.3333333,4.263782399
2010,3,153.6666667,4.036147201
2010,4,199,5.2268544
2010,5,306.3333333,8.046028799
2010,6,687.3333333,18.0532224
2010,7,2361.333333,62.02183679
2010,8,1542.666667,40.51906561
2010,9,945.6666667,24.8385024
2010,10,720.3333333,18.9199872
2010,11,333.3333333,8.755199999
2010,12,210.6666667,5.533286401
2011,1,156.3333333,4.106188799
2011,2,160,4.202496
2011,3,193.3333333,5.078015999
2011,4,273.6666667,7.188019201
2011,5,533,13.9995648
2011,6,582.3333333,15.2953344
2011,7,1342,35.2484352
2011,8,744.3333333,19.5503616
2011,9,1586.666667,41.67475201
2011,10,589.6666667,15.4879488
2011,11,806.3333333,21.1788288
2011,12,340.3333333,8.939059199
2012,1,218,5.7259008
2012,2,201.6666667,5.296896001
2012,3,285.6666667,7.503206401
2012,4,358,9.4030848
2012,5,683.3333333,17.94816
2012,6,555.6666667,14.5949184
2012,7,2151.333333,56.50606079
2012,8,1204.666667,31.64129281
2012,9,1105.333333,29.03224319
2012,10,637.3333333,16.7399424
2012,11,273.6666667,7.188019201
2012,12,240,6.303744
